"","positions","ME","DE"
"1",1,0.357377049180328,0.374701670644391
"2",2,0.576707726763718,0.46119733924612
"3",3,0.471741637831603,0.433679354094579
"4",4,0.229746070133011,0.347486033519553
"5",5,0.736189402480271,0.476718403547672
"6",6,0.894736842105263,0.479452054794521
"7",7,0.871080139372822,0.495391705069124
"8",8,0.592244418331375,0.472043010752688
"9",9,0.732824427480916,0.488730723606168
"10",10,0.877966101694915,0.447708578143361
"11",11,0.859338061465721,0.532558139534884
"12",12,0.531990521327014,0.463869463869464
"13",13,0.349726775956284,0.390673575129534
"14",14,0.587822014051522,0.393461104847802
"15",15,0.494797687861272,0.375
"16",16,0.334090909090909,0.352614015572859
