"","positions","ME","DE"
"1",1,0.346080305927342,0.399585921325052
"2",2,0.547337278106509,0.477250726040658
"3",3,0.455366098294885,0.44810379241517
"4",4,0.233402489626556,0.379710144927536
"5",5,0.73,0.498050682261209
"6",6,0.905365853658537,0.483060109289618
"7",7,0.866799204771372,0.502564102564103
"8",8,0.592024539877301,0.497678737233055
"9",9,0.729500471253534,0.503560528992879
"10",10,0.890748031496063,0.443882709807887
"11",11,0.868801652892562,0.514851485148515
"12",12,0.551901336073998,0.495440729483283
"13",13,0.364161849710983,0.413321167883212
"14",14,0.60507614213198,0.393280632411067
"15",15,0.504468718967229,0.388369678089304
"16",16,0.354207436399217,0.396702230843841
